step,fair_value,reference_price,post_trade_reference_price,bid,ask,spread,taker_side,order_size,signed_order_flow,trade_price,maker_inventory,maker_cash,maker_pnl,aggregate_signal,buy_probability,liquidity,regime,sentiment,fomo,fear,greed,public_fundamental,information_gap,information_event,active_worlds,simulation_seed,world_weights_json,world_signals_json
12,99.93271131,99.93271131,99.93271131,99.93267131,99.97275131,0.04008000,sell,6,-6,99.93267131,-4,401.19119134,1.46034610,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.93271131,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
13,99.96897170,99.96897170,99.96897170,99.95695570,99.99698770,0.04003200,buy,3,3,99.99698770,-7,701.18215445,1.39935253,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.96897170,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
14,99.99827911,99.99827911,99.99827911,99.99225111,100.03230711,0.04005600,buy,1,1,100.03230711,-8,801.21446156,1.22822870,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.99827911,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
15,99.99559908,99.99559908,99.99559908,99.99156708,100.03163108,0.04006400,buy,1,1,100.03163108,-9,901.24609264,1.28570089,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.99559908,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
16,100.02237755,100.02237755,100.02237755,100.02034155,100.06041355,0.04007200,sell,3,-3,100.02034155,-6,601.18506799,1.05080270,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.02237755,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
17,99.99974961,99.99974961,99.99974961,99.99172561,100.03177361,0.04004800,sell,6,-6,99.99172561,0,1.23471433,1.23471433,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.99974961,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
18,100.01396880,100.01396880,100.01396880,99.99396880,100.03396880,0.04000000,buy,3,3,100.03396880,-3,301.33662072,1.29471433,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.01396880,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
19,100.03507520,100.03507520,100.03507520,100.02106320,100.06108720,0.04002400,sell,1,-1,100.02106320,-2,201.31555753,1.24540714,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.03507520,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
20,99.99959640,99.99959640,99.99959640,99.98358840,100.02360440,0.04001600,sell,1,-1,99.98358840,-1,101.33196913,1.33237273,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.99959640,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
21,100.01695075,100.01695075,100.01695075,99.99894675,100.03895475,0.04000800,buy,3,3,100.03895475,-4,401.44883337,1.38103038,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.01695075,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
22,100.03608323,100.03608323,100.03608323,100.02406723,100.06409923,0.04003200,buy,8,8,100.06409923,-12,1201.96162720,1.52862846,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.03608323,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
23,100.01494878,100.01494878,100.01494878,100.01890078,100.05899678,0.04009600,buy,5,5,100.05899678,-17,1702.25661108,2.00248187,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.01494878,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
24,99.97967133,99.97967133,99.97967133,99.99360333,100.03373933,0.04013600,sell,2,-2,99.99360333,-15,1502.26940441,2.57433439,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97967133,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
25,100.04003707,100.04003707,100.04003707,100.04997707,100.09009707,0.04012000,sell,4,-4,100.04997707,-11,1102.06949615,1.62908843,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.04003707,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
26,100.05593534,100.05593534,100.05593534,100.05789134,100.09797934,0.04008800,sell,2,-2,100.05789134,-9,901.95371348,1.45029544,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.05593534,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
27,100.08248542,100.08248542,100.08248542,100.08044942,100.12052142,0.04007200,buy,6,6,100.12052142,-15,1502.67684201,1.43956067,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.08248542,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
28,100.06758749,100.06758749,100.06758749,100.07752749,100.11764749,0.04012000,buy,4,4,100.11764749,-19,1903.14743199,1.86326961,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.06758749,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
29,100.13607644,100.13607644,100.13607644,100.15400044,100.19415244,0.04015200,buy,7,7,100.19415244,-26,2604.50649904,0.96851169,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.13607644,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
30,100.15309425,100.15309425,100.15309425,100.18499025,100.22519825,0.04020800,sell,4,-4,100.18499025,-22,2203.76653805,0.39846461,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.15309425,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
31,100.14715894,100.14715894,100.14715894,100.17107094,100.21124694,0.04017600,sell,8,-8,100.17107094,-14,1402.39797056,0.33774544,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.14715894,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
32,100.12108374,100.12108374,100.12108374,100.12902774,100.16913974,0.04011200,sell,2,-2,100.12902774,-12,1202.13991508,0.68691020,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.12108374,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
33,100.09482880,100.09482880,100.09482880,100.09878080,100.13887680,0.04009600,sell,9,-9,100.09878080,-3,301.25088790,0.96640151,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.09482880,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
34,100.05136284,100.05136284,100.05136284,100.03735084,100.07737484,0.04002400,buy,2,2,100.07737484,-5,501.40563759,1.14882338,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.05136284,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
35,100.03740925,100.03740925,100.03740925,100.02738925,100.06742925,0.04004000,buy,3,3,100.06742925,-8,801.60792533,1.30865135,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.03740925,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
36,100.03689146,100.03689146,100.03689146,100.03285946,100.07292346,0.04006400,buy,3,3,100.07292346,-11,1101.82669571,1.42088963,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.03689146,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
37,100.00852543,100.00852543,100.00852543,100.01048143,100.05056943,0.04008800,sell,7,-7,100.01048143,-4,401.75332572,1.71922402,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.00852543,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
38,100.01568002,100.01568002,100.01568002,100.00366402,100.04369602,0.04003200,sell,7,-7,100.00366402,3,-298.27232244,1.77471763,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.01568002,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
39,99.97221692,99.97221692,99.97221692,99.94620492,99.98622892,0.04002400,sell,5,-5,99.94620492,8,-798.00334705,1.77438832,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97221692,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
40,99.93009256,99.93009256,99.93009256,99.89406056,99.93412456,0.04006400,sell,10,-10,99.89406056,18,-1796.94395261,1.79771339,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.93009256,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
41,99.92074028,99.92074028,99.92074028,99.86466828,99.90481228,0.04014400,buy,1,1,99.90481228,17,-1697.03914033,1.61344442,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.92074028,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
42,99.93176198,99.93176198,99.93176198,99.87769398,99.91782998,0.04013600,sell,6,-6,99.87769398,23,-2296.30530422,2.12522135,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.93176198,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
43,99.97420260,99.97420260,99.97420260,99.90811060,99.94829460,0.04018400,sell,7,-7,99.90811060,30,-2995.66207841,3.56399957,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97420260,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
44,99.95013164,99.95013164,99.95013164,99.87001164,99.91025164,0.04024000,sell,8,-8,99.87001164,38,-3794.62217152,3.48283076,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.95013164,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
45,99.99863265,99.99863265,99.99863265,99.90248065,99.94278465,0.04030400,sell,6,-6,99.90248065,44,-4394.03705541,5.90278109,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.99863265,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
46,99.97529602,99.97529602,99.97529602,99.86712002,99.90747202,0.04035200,sell,1,-1,99.86712002,45,-4493.90417543,4.98414533,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97529602,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
47,99.95531090,99.95531090,99.95531090,99.84513090,99.88549090,0.04036000,buy,9,9,99.88549090,36,-3594.93475728,3.45643530,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.95531090,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
48,99.95114755,99.95114755,99.95114755,99.85900355,99.89929155,0.04028800,sell,7,-7,99.85900355,43,-4293.94778211,3.95156240,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.95114755,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
49,99.91672503,99.91672503,99.91672503,99.81055303,99.85089703,0.04034400,sell,3,-3,99.81055303,46,-4593.37944120,2.78991014,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.91672503,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
50,99.91265834,99.91265834,99.91265834,99.80047434,99.84084234,0.04036800,buy,8,8,99.84084234,38,-3794.65270249,2.02831436,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.91265834,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
51,99.92359992,99.92359992,99.92359992,99.82744792,99.86775192,0.04030400,buy,8,8,99.86775192,30,-2995.71068712,1.99731052,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.92359992,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
52,99.89654949,99.89654949,99.89654949,99.81642949,99.85666949,0.04024000,sell,8,-8,99.81642949,38,-3794.24212307,1.82675768,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.89654949,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
53,99.88909145,99.88909145,99.88909145,99.79293945,99.83324345,0.04030400,buy,7,7,99.83324345,31,-3095.40941890,1.15241612,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.88909145,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
54,99.89787165,99.89787165,99.89787165,99.81574765,99.85599565,0.04024800,sell,10,-10,99.81574765,41,-4093.56689540,2.24584225,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.89787165,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
55,99.90400967,99.90400967,99.90400967,99.80184567,99.84217367,0.04032800,sell,7,-7,99.80184567,48,-4792.17981511,3.21264916,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.90400967,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
56,99.88733805,99.88733805,99.88733805,99.77114605,99.81153005,0.04038400,sell,10,-10,99.77114605,58,-5789.89127560,3.57433123,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.88733805,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
57,99.88616711,99.88616711,99.88616711,99.74993511,99.79039911,0.04046400,buy,1,1,99.79039911,57,-5690.10087649,3.41064869,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.88616711,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
58,99.90910220,99.90910220,99.90910220,99.77487420,99.81533020,0.04045600,buy,3,3,99.81533020,54,-5390.65488588,4.43663296,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.90910220,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
59,99.84397591,99.84397591,99.84397591,99.71575991,99.75619191,0.04043200,sell,5,-5,99.71575991,59,-5889.23368544,1.56089329,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.84397591,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
60,99.86663126,99.86663126,99.86663126,99.72839526,99.76886726,0.04047200,buy,3,3,99.76886726,56,-5589.92708365,2.60426700,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.86663126,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
61,99.89759782,99.89759782,99.89759782,99.76537382,99.80582182,0.04044800,buy,2,2,99.80582182,54,-5390.31544001,4.15484224,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.89759782,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
62,99.94994754,99.94994754,99.94994754,99.82173154,99.86216354,0.04043200,sell,8,-8,99.82173154,62,-6188.88929236,8.00745531,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.94994754,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
63,99.91662825,99.91662825,99.91662825,99.77238025,99.81287625,0.04049600,sell,5,-5,99.77238025,67,-6687.75119359,6.66289897,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.91662825,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
64,99.94874535,99.94874535,99.94874535,99.79447735,99.83501335,0.04053600,sell,4,-4,99.79447735,71,-7086.92910301,9.43181711,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.94874535,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
65,99.96425316,99.96425316,99.96425316,99.80196916,99.84253716,0.04056800,sell,8,-8,99.80196916,79,-7885.34485632,11.83114363,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.96425316,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
66,99.96493186,99.96493186,99.96493186,99.78661586,99.82724786,0.04063200,buy,1,1,99.82724786,78,-7785.51760846,11.74707644,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.96493186,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
67,99.94157198,99.94157198,99.94157198,99.76525998,99.80588398,0.04062400,buy,9,9,99.80588398,69,-6887.26465261,8.70381426,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.94157198,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
68,99.96601408,99.96601408,99.96601408,99.80773808,99.84829008,0.04055200,sell,4,-4,99.80773808,73,-7286.49560492,11.02342273,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.96601408,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
69,99.97990468,99.97990468,99.97990468,99.81361268,99.85419668,0.04058400,sell,2,-2,99.81361268,75,-7486.12283028,12.37002057,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97990468,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
70,100.00200867,100.00200867,100.00200867,99.83170867,99.87230867,0.04060000,sell,6,-6,99.83170867,81,-8085.11308229,15.04961987,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.00200867,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
71,99.97784595,99.97784595,99.97784595,99.79552195,99.83616995,0.04064800,buy,5,5,99.83616995,76,-7585.93223252,12.38405995,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97784595,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
72,99.96700032,99.96700032,99.96700032,99.79469632,99.83530432,0.04060800,buy,8,8,99.83530432,68,-6787.24979799,10.50622351,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.96700032,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
73,99.92025163,99.92025163,99.92025163,99.76397963,99.80452363,0.04054400,sell,3,-3,99.76397963,71,-7086.54173689,7.79612913,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.92025163,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
74,99.92887502,99.92887502,99.92887502,99.76659102,99.80715902,0.04056800,sell,3,-3,99.76659102,74,-7385.84150996,8.89524159,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.92887502,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
75,99.92418611,99.92418611,99.92418611,99.75589011,99.79648211,0.04059200,buy,7,7,99.79648211,67,-6687.26613521,7.65433393,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.92418611,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
76,99.91830279,99.91830279,99.91830279,99.76403479,99.80457079,0.04053600,buy,10,10,99.80457079,57,-5689.22042726,6.12283205,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.91830279,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
77,99.94754354,99.94754354,99.94754354,99.81331554,99.85377154,0.04045600,buy,6,6,99.85377154,51,-5090.09779800,7.22692271,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.94754354,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
78,99.93261003,99.93261003,99.93261003,99.81040603,99.85081403,0.04040800,sell,5,-5,99.81040603,56,-5589.14982814,7.07633346,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.93261003,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
79,99.88455746,99.88455746,99.88455746,99.75233346,99.79278146,0.04044800,buy,3,3,99.79278146,53,-5289.77148377,4.11006149,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.88455746,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
